topic,channel_link,channel_status
filmmaking,https://www.youtube.com/channel/UCG8T8xZYuuiSxa5mOHz2Q2g,0
filmmaking,https://www.youtube.com/user/everyframeapainting,0
filmmaking,https://www.youtube.com/c/FlickCine/videos?view=0&sort=p&flow=grid,0
filmmaking,https://www.youtube.com/user/avid,0
filmmaking,https://www.youtube.com/channel/UCW7M8V_neDC59kH3XNg6WcQ,0
filmmaking,https://www.youtube.com/user/RobertMcKeeSTORY,0
filmmaking,https://www.youtube.com/c/SebastienJefferies/videos,0
filmmaking,https://www.youtube.com/channel/UCiYmiz5t4ZJ__CQMHMYSITA,0
filmmaking,https://www.youtube.com/user/tiff,0
filmmaking,https://www.youtube.com/user/polcan99/videos,0
